OBJECTID,LIEN_WWW
"104",https://ge.ch/terextraitfoncier/rapport.aspx?commune=22&parcelle=3079
"105",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6472
"106",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2674
"107",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6471
"108",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10873
"109",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2118
"110",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10566
"111",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=8016
"112",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7824
"113",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6470
"114",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6477
"115",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=6474
"116",https://ge.ch/terextraitfoncier/rapport.aspx?commune=18&parcelle=11439
"117",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7540
"118",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2046
"119",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=5904
"120",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=4209
"121",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7008
"122",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3923
"123",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7160
"124",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10203
"125",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7372
"126",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7374
"127",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10021
"128",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=5768
"129",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=2133
"130",https://ge.ch/terextraitfoncier/rapport.aspx?commune=17&parcelle=1703
"131",https://ge.ch/terextraitfoncier/rapport.aspx?commune=17&parcelle=1776
"132",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=4541
"133",https://ge.ch/terextraitfoncier/rapport.aspx?commune=31&parcelle=3865
"134",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=4217
"135",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10442
"136",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7359
"137",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7380
"138",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=4244
"139",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10209
"140",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7496
"141",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=8084
"142",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5136
"143",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3908
"144",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3903
"145",https://ge.ch/terextraitfoncier/rapport.aspx?commune=17&parcelle=1565
"146",https://ge.ch/terextraitfoncier/rapport.aspx?commune=34&parcelle=2423
"147",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=490
"148",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=1684
"149",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=1354
"150",https://ge.ch/terextraitfoncier/rapport.aspx?commune=8&parcelle=2346
"151",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5852
"152",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=5849
"153",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=1589
"154",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=1654
"155",https://ge.ch/terextraitfoncier/rapport.aspx?commune=13&parcelle=3478
"156",https://ge.ch/terextraitfoncier/rapport.aspx?commune=12&parcelle=2219
"157",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7361
"158",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4652
"159",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=5534
"160",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=6831
"161",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7366
"162",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7368
"163",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4828
"164",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=5464
"165",https://ge.ch/terextraitfoncier/rapport.aspx?commune=7&parcelle=7497
"166",https://ge.ch/terextraitfoncier/rapport.aspx?commune=23&parcelle=3936
"167",https://ge.ch/terextraitfoncier/rapport.aspx?commune=40&parcelle=2407
"168",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7363
"169",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7357
"170",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=10213
"171",https://ge.ch/terextraitfoncier/rapport.aspx?commune=41&parcelle=7367
"172",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1459
"173",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4362
"174",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=3831
"175",https://ge.ch/terextraitfoncier/rapport.aspx?commune=42&parcelle=10441
"176",https://ge.ch/terextraitfoncier/rapport.aspx?commune=43&parcelle=4074
"177",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1458
"178",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1895
"179",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1896
"180",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1897
"181",https://ge.ch/terextraitfoncier/rapport.aspx?commune=39&parcelle=1905
"182",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=1562
"183",https://ge.ch/terextraitfoncier/rapport.aspx?commune=26&parcelle=627
